"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","17","17","1","121.689995","0","17"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","24","24","1","85.018997","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","72","72","1","457.112610","0","72"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","4","1","13.322774","0","4"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","28","28","1","162.708527","0","28"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","28","28","1","154.398849","0","28"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","36","36","1","205.569183","0","36"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","2.257293","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","24","24","1","140.227921","0","24"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","7.337297","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","7","7","1","14.493699","0","7"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","7.240954","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","9.495725","0","4"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","12","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","8","1","15.942779","0","8"
"/Game/Minigames/miniGame1/Mats/YellowOff.YellowOff","21","12","12","1","75.429604","0","0"
